Speaker,Text,Page
REGIE,die   drei        und     die   flüsternde        mumie,1
REGIE, hörspielskript von flukeskywater ,1
REGIE,anfangsmusik,1
REGIE,im hintergrund arbeitslärm und hundegebell,1
Blacky,hilfe hilfe rettet mich hilfe,1
Mathilda,justus du hast den vogel zu viel fernsehen lassen er redet ja wie im krimi,1
REGIE,papageiengekrächze,1
Justus,schnauft ganz recht tante mathilda mmh wo soll ich die tür hin tun,1
Mathilda,na wohin schon zu den andern türen natürlich los ihr burschen  ihr beiden auch,1
Mathilda,bob peter  nu los doch,1
Bob,widerwillig ja ,1
Justus,die arbeit ist schwer tante mathilda wir könnten eine pause gebrauchen,1
Mathilda,aach ich verstehe  ihr habt gesehen dass die post gekommen ist und ihr seid,1
Mathilda,neugierig ihr glaubt wohl dass ein brief für euch dabei ist,1
Justus,keucht ist einer dabei tante mathilda,1
Mathilda,einer nicht  gleich drei hier sind sie lacht kurz ich will mal nicht so sein,1
Justus,danke,1
Bob,von wem sind die briefe just,1
Justus,geduld bob erstmal will ich diesen hier sehen  den mit dem rosa papier er sieht aus,1
Justus,als ob er von einer katzenliebhaberin wäre,1
Peter,meinst du dann ist es bestimmt ein auftrag eine katze zu suchen,1
Bob,da bin ich ja nun nicht grade scharf drauf papiergeraschel,1
Justus,enttäuscht hm es geht tatsächlich um eine entlaufene katze hm erneut,1
Justus,papiergeraschel hach  und dieser junge junge  der brief hier ist von alfred,1
Justus,hitchcock,1
Peter,von hitchcock was steht drin,1
Bob,vielleicht ein auftrag,1
Justus,mal sehen ,1
Bob,was ist denn just,1
Justus,hm  hier kollegen lest selber  ihr würdet es mir nicht glauben wenn ich es euch,1
Justus,vorlese ihr würdet glauben ich spinne hier peter  lies,1
Peter,gib her  danke,2
Bob,lies doch peter,2
Peter,geduld bob  das ist ja  lacht kurz unglaublich ich glaube mein kuckuck schielt,2
Peter,mensch just  wie kann eine 3000 jahre alte mumie  flüstern,2
REGIE,zwischenmusik,2
