Speaker,Text,Page
REGIE,Superpapagei,1
REGIE,Hörspielskript,1
REGIE,Anfangsmusik,1
REGIE,Vogelgezwitscher,1
REGIE,Schritt,1
REGIE,Hilferuf,1
Justus,Peter rufen Hilfe,1
Peter,Hab gehören zögern Frau,1
Justus,überlegen keiner,1
Justus,keiner meinen just Kind,1
Peter,verwundert mr Malcolm Fentris,1
Peter,,1
Justus,Weiß,1
Justus,just ziehen verschwunden,1
Peter,stöhnen Papagei suchen bevor Haus schreien,1
Peter,Hilfe,1
Justus,,1
Justus,hoffen kompliziert Fall,1
Peter,,1
Peter,,1
Peter,Gegenteil fangen aussichtsreich horchen,1
Justus,,1
Justus,scheinen beruhigt sehen,1
Justus,Haus ziehen sehen,1
REGIE,ängstlich,1
Peter,laut verschlossen Raum betreten,1
Peter,ausgezeichnet Vergleich denken Bob,1
Justus,,1
Justus,weitergeben zentral,1
Peter,,1
Justus,Bob Aktenführung verantwortlich,1
Peter,,1
Justus,flüstern kommen schleichen näher ran,1
Peter,flüstern vorsichtig,2
REGIE,Unheilverkündende,2
REGIE,Musik,2
Justus,flüstern Baum Busch geben Deckung,2
REGIE,Unheilverkündende,2
REGIE,Musik,2
REGIE,leise Schritt,2
REGIE,flüstern,2
Peter,laut,2
REGIE,eindringlich,2
REGIE,leise Schritt leise,2
REGIE,Musik,2
Justus,Peter,2
Peter,verwundern just,2
Justus,aufregen,2
Peter,,2
Mann,Tiefe stimmen schnell Haus,2
Mann,Hä wollen sehen Schild führen,2
Justus,Sir brauchen Pistole,2
Mann,Haus,2
Mann,drohend lassen einfallen weglaufen werden,2
Mann,bereuen verstehen,2
REGIE,stöhnen,2
Justus,weglaufen Peter mr Fentris überzeugen,2
Justus,legal Angelegenheit,2
Peter,kläglich rennen zittern Knie,2
Peter,Laufen lernen,2
REGIE,Schritt,2
REGIE,Ki,2
Mann,machen Tür vergeßt schießen,2
Mann,Dummheit,2
REGIE,Schritt,2
Mann,lachen Tür klappen setzen schön,2
Mann,warten raus Sprache,2
Mann,,2
Justus,selbstbewußt Geschäftsbesuch abstatten mr Fentris,2
Mann,Geschäftsbesuch lachen,2
Mann,schleichen Baum Baum Indianer,2
Mann,Kriegspfad,3
Peter,zögernd hören Hilfe schreien,3
Peter,Baum verstecken,3
Mann,Hilferuf gehören,3
Justus,Sir Alfred Hitchcock berühmt,3
Justus,Regisseur hergeschickt vermissen Papagei,3
Justus,Polizei wollen helfen,3
Justus,Detektiv bereit Wiederbeschaffung,3
Justus,gefiedert Hausgenosse unterstützen Karte,3
Mann,lesen übernehmen Fall Detektiv,3
Mann,Justu Jona Detektiv Peter shaw,3
Mann,Detektiv verantwortlich Recherche Archiv Bob,3
Mann,Andrew,3
Justus,selbstbewußt Justu Jona Kollege Peter shaw,3
Mann,bedeuten Fragezeichen bezweifeln,3
Mann,Fähigkeit hä,3
Justus,Fragezeichen Symbol unbekannt,3
Justus,Unbeantwortete fragen ungelöst Rätsel Aufgabe,3
Justus,Frage beantworten Rätsel lösen Geheimnis jeglich,3
Justus,Art lüften Fragezeichen Markenzeichen,3
Justus,Detektivfirma,3
Mann,verstehen Geheimnis,3
Mann,verschwunden Papagei klären,3
Justus,Sir,3
Mann,Glauben stöhnen machen,3
Mann,machen Momentmal,3
Mann,Zigarette anstecken,3
REGIE,Drohende,3
