Speaker,Text,Page
REGIE,4 schwarze katze,1
REGIE,hörspielskript flukeskywater,1
REGIE,anfangsmusik,1
REGIE,hintergrund rummelplatzmusik jahrmarktgeräusche,1
Peter,freunde iwan radscha beste löwendressur,1
Peter,welt,1
Bob,länger blöde bemalte fass tragen,1
Justus,fass bob nunmehr podest löwe radscha,1
Justus,sitzen,1
Bob,klar justus bleibt fass,1
Peter,halbes bob,1
Bob,peter loswerden,1
Justus,iwan hallo sir bringen podest,1
Justus,löwen,1
Iwan,schön angemalt,1
Iwan,sonderbelohnung verdient lade löwenshow haltet,1
Iwan,,1
Peter,danke sir,1
Justus,prima,1
Bob,großartig,1
Gabbo,betrug preis,1
Junge,hilfe hilfe haltet,1
Mädchen,,1
Junge,katze gestohlen hilfe,1
Justus,schlapphut bart,1
Gabbo,seite,1
Peter,vorsicht messer,1
Gabbo,nah bleibt,1
Justus,,1
Iwan,verfolgt,1
Bob,verrückt justus messer,1
Justus,halten distanz kollegen sehen läuft hastige schritte,1
REGIE,abnehmen geräuschkulisse,1
Peter,zaun zaun reicht wasser runter,2
Peter,,2
Justus,vorsicht nahe,2
Peter,wachen,2
Wachmann,,2
Peter,he hierher hierher zaun,2
Justus,sehen,2
Bob,vorsicht just ecke,2
Justus,,2
Peter,gibts verschwunden,2
Bob,gesehen hierher gelaufen sehen,2
Bob,spuren,2
Wachmann,luft aufgelöst wasser,2
Wachmann,gesprungen sehen wasser bewegt,2
Peter,zaun geklettert meter,2
Peter,schafft,2
Wachmann,schade spuren erkennen boden,2
Wachmann,steinig,2
Justus,kollegen ahnung leugnen,2
Justus,zaun geklettert,2
Wachmann,quatsch zaun bietet nirgendwo halt lücke,2
Wachmann,rübergeklettert,2
Justus,scheint vernünftige erklärung,2
Justus,getan ausgeschlossen,2
Justus,übrigbleibt lösung unmöglich erscheint,2
Erzähler,klettert mehrere meter hohe bretterwand denkt,2
Erzähler,verliert boden füßen lasst,2
Erzähler,sagen fester halt enge verbindung tatsachen,2
Erzähler,vorankommen aufstieg stets unerlässlich,2
Peter,jedenfalls stofftier verloren geklaut,2
Bob,diebstahl gebracht,2
Peter,nee,2
Justus,stoffkatze,2
Peter,amüsiert letzte heuler,2
REGIE,brummt belustigt,2
Peter,seht katze beine verdreht krümmt buckel fletscht,3
Peter,zähne lässt ohr hängen kneift auge lacht,3
Justus,ding stiehlt,3
Bob,sammelt stofftiere,3
Peter,stofftiere sammeln,3
Bob,,3
Peter,schießbuden verrückt bob,3
Bob,,3
Peter,vieh wert,3
Wachmann,gebt vieh bringe schießbude,3
Justus,sir ohnehin,3
Justus,schießbude paar preise gewinnen,3
Wachmann,paar preise bringt katze lasst,3
Wachmann,einfallen vergessen,3
Justus,sorge sir,3
Wachmann,haut,3
Justus,kollegen,3
Peter,schritte jahrmarktgeräusche lauter junge,3
Peter,entgegen glaube arbeitet schießbude,3
Andy,he stoffkatze alten erwischt,3
Peter,katze unterwegs verloren,3
Andy,hoffentlich schnappt polizei nämlich enten,3
Andy,umgelegt typische verlierer bau,3
Peter,,3
Justus,kollegen bau,3
Justus,wanderzirkus,3
Peter,aha,3
Bob,,3
Justus,wohnen rocky beach justus jonas peter shaw,3
Justus,bob andrews,3
REGIE,brummt zustimmend,3
Bob,,3
Andy,freut andy,3
REGIE,brummen zustimmend,3
Andy,bau,3
Justus,schießbude,3
Andy,naja direkt vater gehört nämlich zirkus,3
Bob,,3
Andy,glück versuchen,4
Peter,schwarze katzenvieh würd gewinnen,4
REGIE,brummt belustigt,4
Bob,könnten unserm maskottchen,4
Justus,peter probier,4
Peter,,4
Andy,schuss treffer erzielen schwarze katze,4
Andy,gewinnen,4
Peter,aha,4
Andy,nämlich hauptpreis,4
Peter,mhm,4
Andy,einfach schaffen katzen,4
Andy,hergegeben,4
Justus,hauptpreise,4
Andy,naja gestern lebende schildkröten,4
Peter,,4
Andy,betrunkener lebende schildkröte gewonnen,4
Bob,,4
Andy,belustigt dachte belegtes brötchen,4
REGIE,stöhnt,4
REGIE,lacht,4
Andy,zähne ausgebissen,4
REGIE,lachen,4
Peter,gewehr katze gewinnen,4
Andy,gewehr,4
REGIE,brummt zustimmend,4
Bob,peter,4
Andy,halt bezahlt klingender münze,4
Peter,,4
Andy,25 cent bar scherflein bahn frei kunstfertigkeit,4
Andy,komm näher ran junge gewinnen zeig ruhige hand,4
Andy,adlerauge,4
Peter,25 cent andy lacht,4
Bob,hör redest andy,4
Andy,daddy zirkusblut adern meint geborene,4
Andy,quasselstrippe freund hebe gewehr hole,4
Andy,hauptpreis schwarze katze begehrt sogar,4
Andy,diebesgesindel,4
REGIE,lacht,5
Bob,peter schieß luftgewehrgeräusch,5
Andy,peter schuss luftgewehrgeräusch,5
Andy,ausgezeichnet treffer luftgewehrgeräusch glänzend,5
Andy,unglaublich kugeln,5
Justus,peter schaffst luftgewehrgeräusch,5
Bob,getroffen,5
Andy,schuss sachte sachte vorsichtig achtung,5
Andy,preis,5
Justus,belustigt gib mühe peter machst nervös,5
Justus,luftgewehrgeräusch siehst getroffen,5
Bob,prima peter,5
Justus,toll,5
