"Speaker","Text"
"REGIE","Die  drei  ??? und  der  Fluch  des  Rubins"
"REGIE","Hörspielskript von Astrid"
"REGIE","Cassettenanfangsmusik"
"Erzähler","Auf dem Schrottplatz der Familie Jonas herrschte Hochbetrieb. Mrs. Mathilda Jonas hielt ihren Neffen Justus und seine Freunde Peter und Bob ganz hübsch in Trab. Die 3 entluden gerade einen Lastwagen. Titus Jonas hatte von seiner letzten Einkaufsfahrt mal wieder alles Mögliche mitgebracht, darunter eine Reihe von Gipsköpfen berühmter Männer."
"Mathilda","Justus, die Statuen auf dem Wagen, bringt sie alle hierher und stellt sie auf den Tisch da in eine Reihe. Das wird eine hübsche Ausstellung."
"Justus","Ja, Tante Mathilda, wir sind ja schon dabei. Kommt, Freunde, wir bringen die Büsten zum Tisch. Büsten sind es und keine Statuen, aber das spielt für Tante Mathilda ja keine Rolle."
"Peter","13 Stück und schon leicht angestaubt."
"Justus","Da, Julius Caesar, Octavian, Dante, Homer, Francis Bacon, ... ."
"Peter","... Shakespeare."
"Justus","Ja, anscheinend sind es alle Berühmtheiten."
"Bob","August von Polen. Von dem habe ich ja noch nie gehört."
"Peter","Da, Luther und Bismarck!"
"Justus","... und Königin Victoria! Da, Washington, Franklin und Lincoln."
"Bob","Von Dir ist keine Büste dabei, Justus, dabei bis Du doch auch schon `ne Berühmtheit."
"Justus","Aber noch nicht so verstaubt! (Allgemeines Gelächter) Los jetzt, abladen, Kollegen!"
"REGIE","Telephonklingeln"
"Peter","Ganz schön warm heute!"
"Justus","Das stimmt!"
"REGIE","Telephonklingeln"
"Peter","Aber was soll`s, wir brauchen das Geld. Also arbeiten wir."
"Bob","Es lohnt sich ja auch."
"Peter","Hmhm."
"Mathilda","Justus Jonas für Dich! Ich glaube es ist Mr.Hitchcock vom Film."
"Justus","Ah, Hitchcock! Er hat bestimmt einen neuen Fall für uns."
"Bob","Los, Just, lauf doch schon! Justus läuft weg"
"Peter","Meinst Du wirklich, daß er einen neuen Fall für uns hat, Bob?"
"Bob","Ich hoffe es sogar. Dir wird es doch auch recht sein, Peter."
"Peter","Na ja, wenn es kein gefährlicher Fall ist."
"Bob","He, Just kommt schon wieder zurück."
"Peter","Na, Just, was wollte Mr.Hitchcock?"
"Justus","(schnauft) Mr.Hitchcock sagt, da ist ein Junge, der eine Erbschaft gemacht hat. Unglücklicherweise hat er aber keine Ahnung, was das Erbe sein könnte und wo es zu finden ist. Wir sollen morgen um 10 Uhr zu Hitchcock ins Büro kommen. Dann wird er uns alles erzählen."
"Peter","Okay!"
"REGIE","Szenenübergangsmusik"
"Erzähler","Wenn es um einen neuen Fall geht, sind die 3 Detektive immer pünktlich. So auch an diesem August Morgen, als sie bei mir im Büro erschienen."
"Hitchcock","So, Ihr Drei, ich möchte Euch mit meinem jungen Freund aus England bekanntmachen. Das ist August, mit Vornamen und Nachnamen. Uhr schlägt Also August August."
"3???","Hallo!"
"Hitchcock","Und das sind Justus Jonas, Peter Shaw und Bob Andrews."
"Gus","Es freut mich. Bitte nennt mich Gus."
"Justus","Gerne, Gus."
"Gus","Ich hoffe sehr, daß Ihr mir helfen könnt. Ich bin nämlich in der Klemme. Mein Großonkel, Horatio August, ist vor Kurzem gestorben. Sein Anwalt hat mir ein Schriftstück geschickt, aus dem ich einfach nicht klug werde."
"Hitchcock","Ich muß gestehen, mir geht es nicht besser. Aber Horatio August hat seinem Großneffen anscheinend zugetraut, die Nachricht zu enträtseln. Also bitte August, zeige den Dreien die Botschaft."
"Gus","Gern, hier!"
"Justus","Danke. raschelt mit Papier Ich les` mal vor."
"Hitchcock","Bitte, Justus."
"Justus","An August August, meinen Großneffen."
"Bob","Das hättest Du Dir sparen können, Justus."
"Justus","August wirst Du genannt, August macht Dich bekannt und August ist der Hüter Deines Glücks. Wie ein Berg türmt es sich vor Dir auf. Laß Dich vor Hindernissen nicht schrecken. Wie ein Schatten liegt es über der Stunde Deiner Geburt. Ein Beginn zugleich ein Ende."
"Bob","Mann, das hört sich ja kompliziert an!"
"Justus","Du mußt tiefgründig forschen. Meine Worte sollen allein Dir Wegweiser sein. Ich wage nicht unverhüllt auszusprechen, damit andere nicht entdecken, was Dir zugedacht ist. Es ist mein Eigen. Ich erwarb es und besitze es. Doch seine böse Macht forderte ich nie heraus. Nun sind 50 Jahre vergangen. Dieses halbe Jahrhundert sollte Läuterung bewirkt haben. Es darf jedoch nicht geraubt oder gestohlen werden. Es muß gekauft, als Geschenk empfangen oder gefunden werden. Gehe deshalb mit Bedacht zu Werke. Aber nütze die Zeit! Dies und meine ganze Zuneigung sind mein Vermächtnis an Dich. Horatio August."
"Bob","Puh, das ist vielleicht ein Brief!"
"Peter","Mir kommt das alles Spanisch vor. Was heißt eigentlich Läuterung?"
"Bob","Das bedeutet, daß etwas vom Übel oder der Sünde gereinigt wird."
"Hitchcock","Nun, Justus, was hälst Du davon?"
"Justus","Hm, in gewisser Hinsicht ist es ganz klar."
"Peter","Ganz klar? Was Du nicht sagst."
"Justus","Zunächst ist klar, daß Mr. August seinem Großneffen etwas mitteilen wollte, was niemand sonst verstehen sollte. Er hat es irgendwo versteckt und es hört sich so an, als ob dies vor 50 Jahren passiert sei. Es ist etwas Wertvolles. Wenn er also Gus ohne Umschweife das Versteck beschrieben hätte, dann könnte ein Dieb den Gegenstand entwenden. Das ist doch alles ganz klar."
"Peter","Ja, na schön. Aber der Rest ist so klar wie Klosbrühe."
"Justus","Einige Teile sind recht deutlich, wie „August ist der Hüter Deines Glücks“. Hm, wann hast Du Geburtstag, Gus?"
"Gus","Im August. In zwei Tagen habe ich Geburtstag. Deshalb gab mir mein Vater den Vornamen August."
"Justus","Noch zwei Tage bis zu Deinem Geburtstag. Die Zeit ist knapp, weil wir das Rätsel bis dahin gelöst haben müssen."
"Peter","Wir müßten zwei Jahre haben, das wäre besser."
"Hitchcock","Das wird sich zeigen. Was aber versteht Ihr unter dem Satz „Es ist mein Eigen. Ich erwarb es und besitze es, doch seine böse Macht forderte ich nie heraus.“"
"Justus","Ich glaube, er sagt damit, daß dieser Gegenstand, oder was immer es auch sein soll, sein rechtmäßiges Eigentum ist und er es Gus übertragen kann. Gleichzeitig deutet er aber an, daß er es aus einem bestimmten Grund fürchtet."
"Hitchcock","„50 Jahre sind vergangen, dieses halbe Jahrhundert sollte Läuterung bewirkt haben. Es darf jedoch nicht gestohlen oder geraubt werden. Es muß gekauft, als Geschenk empfangen oder gefunden werden.“"
"Peter","Was war Dein Großonkel für ein Mensch, Gus?"
"Gus","Ich weiß nicht, Peter. Ich habe ihn nie gesehen. Ich weiß nur, daß er hier in Hollywood gelebt hat und hier gestorben ist. Und das er verfügt hat, daß ich dieses Schriftstück haben soll."
"Hitchcock","Gus hat sich einen Anwalt genommen, Mr.DwiggIns. Aber ich habe ihm empfohlen, auch mit Euch zusammenzuarbeiten. Telephonbimmeln"
"Justus","Das wird er bestimmt nicht bereuen. Komm, Gus, wir fahren zu dem Anwalt Mr.DwiggIns!"
"REGIE","Musik setzt ein"
"Gus","Einverstanden!"
"Hitchcock","Viel Erfolg, Jungs."
"3???/ Gus","Danke!"
