"Speaker","Text","Page","speaker_id"
"REGIE","Die   drei ???   - Die   Karten   des   Bösen    (82)","1","0"
"REGIE","- Hörspielskript von Haushinka -","1","0"
"REGIE","*Anfangsmusik*","1","0"
"REGIE","*Schrottplatzgeräusche; die ganze Szene über ist Blacky zu hören*","1","0"
"Peter","*lacht* Bob, Justus, hört euch das an! Ihre Wahrnehmung wird auf eine","1","3"
"Peter","harte Probe gestellt. Sollten Sie heute mit Geschehnissen","1","3"
"Peter","konfrontiert werden, die Ihnen auf den ersten Blick seltsam","1","3"
"Peter","erscheinen, zögern Sie nicht sich konsequent damit auseinander","1","3"
"Peter","zu setzen.","1","3"
"Justus","Aha.","1","2"
"Justus","Peter:*lacht immer noch* Soll ich dieses Horoskop nun negativ oder positiv deuten?","1","2"
"Justus","Was meint ihr?","1","2"
"Bob","Wenn dir heute tatsächlich eine übernatürliche Erscheinung","1","4"
"Bob","begegnet, Zweiter, dann solltest du unbedingt Donna Carrington","1","4"
"Bob","- alias Susan Maywood - informieren und ihre hellseherischen","1","4"
"Bob","Fähigkeiten loben. Die hat diesen Blödsinn nämlich verfasst!","1","4"
"Peter","Susan Maywood?","1","3"
"Bob","Mhm.","1","4"
"Peter","Nie gehört. Wer ist'n das?","1","3"
"Bob","Sie absolviert gerade ein Praktikum in der Redaktion meines","1","4"
"Bob","Vaters und schreibt dort die Tageshoroskope für alle zwölf","1","4"
"Bob","Tierkreiszeichen.","1","4"
"Justus","Aha.","1","2"
"Peter","Ja, aber wieso is'n das Foto mit ""Donna Carrington"" untertitelt?","1","3"
"Peter","Ist das Susan Maywoods Künstlername?","1","3"
"Bob","Ja, die Astrologin Donna Carrington existiert in Wirklichkeit gar","1","4"
"Bob","nicht.","1","4"
"Peter","Aha.","1","3"
"Bob","Diesen Namen hat sich vor vielen Jahren ein Redakteur","2","4"
"Bob","ausgedacht und das Foto eines Models dazugesetzt.","2","4"
"Justus","Eine ziemlich gerissene Masche für eine seriöse Zeitung wie die","2","2"
"Justus","""Los Angeles Post""!","2","2"
"Bob","Aber nun hör doch schon auf, Just!","2","4"
"Justus","Ich für meine Person bezweifle, dass sich das Schicksal","2","2"
"Justus","tatsächlich errechnen und somit voraussagen lässt.","2","2"
"Bob","Na dann können wir uns ja glücklich schätzen, nicht an diesen","2","4"
"Bob","Hokuspokus zu glauben","2","4"
"Peter","Ja.","2","3"
"Justus","Ich halte mich ausschließlich an Tatsachen.","2","2"
"Bob","Wie sieht dein Horoskop denn aus, Erster?","2","4"
"REGIE","*Zeitungsrascheln*","2","0"
"Justus","Ein Anruf wird Sie aus der Bahn werfen und Sie in einen Strudel","2","2"
"Justus","nervenaufreibender Ereignisse stürzen, die Sie Kopf und Kragen","2","2"
"Justus","kosten können.","2","2"
"Bob","*lacht* So ein Quatsch.","2","4"
"REGIE","*Peter stimmt lachend mit ein; Telefon klingelt*","2","0"
"Peter","Na, nun heb schon ab, Justus. Oder glaubst du, das Unheil lässt","2","3"
"Peter","sich abwenden, wenn du das Klingeln einfach ignorierst?","2","3"
"Bob","*flüstert* Schalt den Verstärker ein!","2","4"
"Justus","Justus Jonas?","2","2"
"Mrs Summer","Justus Jonas? Wie es auf der Visitenkarte steht, die ich hier in","2","1205"
"Mrs Summer","meinen Händen halte? Ist euer Detektivteam noch immer tätig?","2","1205"
"Justus","Ja ... aber wer spricht denn da?","2","2"
"Mrs Summer","Milva Summer. Dieser Name wird dir sicherlich nicht viel sagen.","2","1205"
"Justus","Von wem haben Sie denn unsere Karte erhalten?","2","2"
"Mrs Summer","Von einer ehemaligen Klientin von euch. Ihr Name ist Abigail","2","1205"
"Mrs Summer","Holligan.","2","1205"
"Justus","Ah.","3","2"
"Mrs Summer","Sie hat mir euer Detektivbüro wärmstens empfohlen. *fängt an","3","1205"
"Mrs Summer","zu weinen* Ich bin am Ende. Ich kann einfach nicht mehr! Ich","3","1205"
"Mrs Summer","habe mir schon die Augen ausgeweint und in der ganzen","3","1205"
"Mrs Summer","Nachbarschaft herumgefragt, aber ""Come In"" ist nicht","3","1205"
"Mrs Summer","zurückgekehrt.","3","1205"
"Justus","""Come in""? Wer oder was ist denn das?","3","2"
"Mrs Summer","Mein Kater. Es zerreißt mir das Herz! Ich muss ihn wiederfinden.","3","1205"
"Mrs Summer","Nehmt ihr den Auftrag an?","3","1205"
"Justus","Äh. . . im Prinzip schon. Doch vorher sollten Sie uns mit mehr","3","2"
"Justus","Informationen versorgen.","3","2"
"Mrs Summer","""Come In"" ist ein Kartäuserkater. Er hat orange-schillernde","3","1205"
"Mrs Summer","Augen und ein stahlblaues Fell. Sein auffälligstes Merkmal ist","3","1205"
"Mrs Summer","allerdings sein buschiger pechschwarzer Schwanz. Er sieht","3","1205"
"Mrs Summer","beinahe so aus, als wäre er in Farbe getaucht worden. Ein","3","1205"
"Mrs Summer","Streich der Natur! Und er ist vielleicht etwas mollig.","3","1205"
"Justus","Und seit wann vermissen Sie ihn?","3","2"
"Mrs Summer","Schon seit sieben Tagen. Aber können wir das nicht persönlich","3","1205"
"Mrs Summer","besprechen? Ich besitze eine Menge Fotos, auf denen ""Come In""","3","1205"
"Mrs Summer","in allen erdenklichen Posen abgelichtet ist.","3","1205"
"Justus","Ausgezeichnet, Mrs Summer. Wann würde es Ihnen denn","3","2"
"Justus","passen?","3","2"
"Mrs Summer","Könnt ihr nicht gleich kommen? Sozusagen umgehend?","3","1205"
"Justus","*zögerlich* Ja, das ließe sich einrichten.","3","2"
"Mrs Summer","Wenn ihr vor meinem Haus eintrefft, müsst ihr am Gartentor","3","1205"
"Mrs Summer","dreimal klingeln. Dann weiß ich, dass ihr es seid. Ich wohne in","3","1205"
"Mrs Summer","Westwood. In der Secondstreet, Hausnummer 34.","3","1205"
"Justus","Einverstanden, Madam. Wir sind in einer Stunde bei Ihnen.","3","2"
"Mrs Summer","Ihr müsst ihn finden! Ich zähl auf euch.","3","1205"
"REGIE","*Hörer wird aufgelegt*","3","0"
"Justus","Voilà - so soll es sein!","3","2"
"REGIE","*Zwischenmusik*","4","0"
"Erzähler","Westwood war ein vom Wilshire-Boulevard durchzogenes","4","574"
"Erzähler","Villenviertel mit zahlreichen Luxusgeschäften. Als Peter mit","4","574"
"Erzähler","seinem MG vor der großen Toreinfahrt von Mrs Summers","4","574"
"Erzähler","Grundstück hielt, erblickten die drei Detektive hinter den","4","574"
"Erzähler","Gitterstäben eine imposante, vierstöckige Villa. Den weitläufigen","4","574"
"Erzähler","Garten zierte ein kleiner See, auf dessen Oberfläche blühende","4","574"
"Erzähler","Seerosen schwammen.","4","574"
"REGIE","*Auto hält; Schritte*","4","0"
"Justus","Mrs Summer scheint recht vermögend zu sein. Dass sie nicht die","4","2"
"Justus","Hausangestellte irgendeines Millionärs ist, beweist das Schild","4","2"
"Justus","dort an der Säule: Milva Summer. Empfang nur nach","4","2"
"Justus","Vereinbarung.","4","2"
"Peter","Wie war das noch? Dreimal klingeln? Na dann.","4","3"
"REGIE","*Klingeln*","4","0"
"Justus","Schaut durch das Tor, Kollegen. Wir werden bereits observiert.","4","2"
"Justus","Dort im Gebüsch ist eine Überwachungskamera installiert!","4","2"
"Bob","Sieh mal einer an.","4","4"
"REGIE","*Lautsprecher knackt*","4","0"
"Mrs Summer","*über Gegensprechanlage* Ja bitte?","4","1205"
"Justus","Wir sind es, Mrs Summer. Die drei Detektive.","4","2"
"Mrs Summer","Ich öffne das Tor. Fahrt euren Wagen bitte oben auf den","4","1205"
"Mrs Summer","Parkplatz.","4","1205"
"Justus","Verstanden.","4","2"
"REGIE","*Tor wird geöffnet; Autotüren schlagen zu; Auto wird gestartet*","5","0"
"Bob","*staunt* Oh, ist da ein riesiger Garten. Seht euch diese Marmorskulpturen","5","4"
"Bob","an. Wahnsinn. *schreit auf*","5","4"
"Peter","Was ist denn in dich gefahren, Bob? Hast du sie noch alle oder","5","3"
"Peter","wie?","5","3"
"REGIE","*Auto hält; Türen klappen*","5","0"
