"Speaker","Text","Page"
"REGIE","Die   drei   ???    (101)    und    das   Hexenhandy","1"
"REGIE","-","1"
"REGIE","– Hörspielskript von Brenda Bows (2008) –","1"
"REGIE","Titelmusik","1"
"REGIE","Schritte auf Kies","1"
"Bob","Ja, was ist denn?","1"
"Peter","[wütend] Irgendein Mistkerl hat die Luft aus meinem Hinterreifen gelassen und das","1"
"Peter","Ventil geklaut!","1"
"Bob","Da muss ich leider passen.","1"
"REGIE","[seufzt]","1"
"Bob","Ach verflixt! Wir brauchen mindestens eine Stunde, bis wir die Räder nach Rocky","1"
"Bob","Beach geschoben haben!","1"
"Peter","Was heißt wir? Dein Rad ist doch verschont geblieben!","1"
"Bob","[bestimmt] Ja meinst du etwa, ich lass dich in der Dunkelheit alleine durch den Wald","1"
"Bob","irren? Ich bin doch nicht verrückt geworden!","1"
"REGIE","[lacht erleichtert]","1"
"Bob","Je früher wir uns in Bewegung setzen, desto schneller sind wir am Ziel.","1"
"REGIE","quietschen von Fahrrädern, ächzen","1"
"Erzähler","Peter drückte den Knopf seiner batteriebetriebenen Fahrradlampe, denn sie steuerten","1"
"Erzähler","geradewegs auf den Wald zu und die letzte Straßenlaterne hatten sie bereits hinter","1"
"Erzähler","sich gelassen. [quietschen von Fahrrädern] Außer den beiden Jungs war weit und","1"
"Erzähler","breit kein Mensch zu sehen, und Peter überkam ein mulmiges Gefühl.","1"
"REGIE","ein Käuzchenruf, Schritte","1"
"Peter","[flüstert] Was hast du?","2"
"Bob","[leise] Halt mal kurz mein Rad.","2"
"REGIE","klappern, dann rascheln im Laub, ein Käuzchenruf","2"
"Bob","Sieh mal,… was hier liegt!","2"
"REGIE","rascheln und klirren","2"
"Bob","Ja, wollen wir mal nichts Schlimmes hoffen!","2"
"Peter","Was ist denn da drin?","2"
"Bob","Ja, das werden wir gleich wissen. [fummelt am Ranzen rum] Mach ich mal auf.","2"
"Bob","Ja. Das scheint sich mehr um… ein Malbuch zu handeln. Sieh dir das an hier!","2"
"Peter","[überrascht] Hexen!","2"
"Bob","Ja!","2"
"REGIE","Musik","2"
"REGIE","scheinen es diesem Jeremy angetan zu haben!","2"
"Peter","Ja!","2"
"REGIE","[lacht]","2"
"Peter","dazugehörigen Spielen!","2"
"Bob","Ja, hier ist aber nirgends eine Adresse verzeichnet.","2"
"REGIE","Musik wird ausgeblendet","2"
"REGIE","ihm den Ranzen zurück bringen.","3"
"REGIE","man hört ein fieses Kichern, Bob und Peter erschrecken sich","3"
"Peter","[ängstlich] Was war das?","3"
"REGIE","wieder das Kichern","3"
"REGIE","Schulranzens.","3"
"REGIE","das Kichern wird lauter","3"
"Peter","[überrascht] Ein Handy!","3"
"Peter","Ein phosphoreszierendes Handy! Wahnsinn!","3"
"Bob","Meinst du?","3"
"Peter","Ja!","3"
"Mrs Scott","[verwundert] Bob Andrews? [bestimmt] Ich will meinen Sohn Jeremy sprechen!","3"
"REGIE","unheimliche Musik, Käuzchenrufe","3"
"REGIE","zu sehen!","3"
"Mrs Scott","[erschrocken] Um Himmels Willen!","3"
"Bob","Ja, ich sag‘s nicht gern Madame, aber ich halte es für das Beste, die Polizei zu","4"
"Bob","verständigen!","4"
"Mrs Scott","Das werde ich sofort tun! Bitte bleibt da, wo ihr seid. Ich rufe gleich zurück!","4"
"REGIE","Musik wird ausgeblendet","4"
"Bob","Ok [legt auf] Hast du mitgehört, Peter?","4"
"Peter","Ja. Und wieder stecken wir drin im Schlamassel! Was machen wir jetzt?","4"
"Bob","Ja, nachsehen, ob irgendwelche Spuren zu sehen sind! Komm und leuchte mal mit","4"
"Bob","deiner Fahrradlampe!","4"
"REGIE","quietschen","4"
"Bob","Ja. [raschelt im Gebüsch herum]","4"
"Peter","Und?","4"
"REGIE","rascheln und ächzen","4"
"Peter","Ist da was?","4"
